Latitude,Longitude,Elevation,Time,HeartRate,Power
42.274018,-71.025823,10.8,2023-09-15 00:05:46+00:00,,
42.273997,-71.025802,10.8,2023-09-15 00:05:47+00:00,,
42.273972,-71.02578,10.8,2023-09-15 00:05:48+00:00,,
42.273948,-71.025762,10.8,2023-09-15 00:05:49+00:00,,
42.273927,-71.025748,10.8,2023-09-15 00:05:50+00:00,,
42.273907,-71.025735,10.8,2023-09-15 00:05:51+00:00,,
42.273895,-71.025722,10.8,2023-09-15 00:05:52+00:00,,
42.273883,-71.025708,10.8,2023-09-15 00:05:53+00:00,,
42.273865,-71.025693,10.8,2023-09-15 00:05:54+00:00,,
42.273847,-71.025683,10.8,2023-09-15 00:05:55+00:00,,
42.273823,-71.025675,10.8,2023-09-15 00:05:56+00:00,,
42.273795,-71.025667,10.8,2023-09-15 00:05:57+00:00,,
42.273767,-71.02566,10.8,2023-09-15 00:05:58+00:00,,
42.273737,-71.025655,10.8,2023-09-15 00:05:59+00:00,,
42.27371,-71.025648,10.8,2023-09-15 00:06:00+00:00,,
42.273683,-71.025638,10.8,2023-09-15 00:06:01+00:00,,
42.273668,-71.025628,10.8,2023-09-15 00:06:02+00:00,,
42.273655,-71.025608,10.8,2023-09-15 00:06:03+00:00,,
42.273645,-71.025588,10.8,2023-09-15 00:06:04+00:00,,
42.27364,-71.025577,10.8,2023-09-15 00:06:05+00:00,,
42.27363,-71.025558,9.8,2023-09-15 00:06:06+00:00,,
42.273615,-71.025543,9.8,2023-09-15 00:06:07+00:00,,
42.2736,-71.025528,9.8,2023-09-15 00:06:08+00:00,,
42.273582,-71.025508,9.8,2023-09-15 00:06:09+00:00,,
42.273567,-71.025488,10.8,2023-09-15 00:06:10+00:00,,
42.27355,-71.02547,10.8,2023-09-15 00:06:11+00:00,,
42.273532,-71.025453,10.8,2023-09-15 00:06:12+00:00,,
42.273512,-71.025445,10.8,2023-09-15 00:06:13+00:00,,
42.273493,-71.025438,10.8,2023-09-15 00:06:14+00:00,,
42.273473,-71.025427,10.8,2023-09-15 00:06:15+00:00,,
42.273455,-71.025412,9.8,2023-09-15 00:06:16+00:00,,
42.27343,-71.025395,9.8,2023-09-15 00:06:17+00:00,,
42.273402,-71.025375,9.8,2023-09-15 00:06:18+00:00,,
42.273377,-71.025352,9.8,2023-09-15 00:06:19+00:00,,
42.27335,-71.02533,9.8,2023-09-15 00:06:20+00:00,,
42.273333,-71.025305,9.8,2023-09-15 00:06:21+00:00,,
